the  [ðə; ði]
female  [ˈfiːmeɪl]
decline  [dɪˈklaɪn]
invest  [ɪnˈvest]
promise  [ˈprɑːmɪs]
cable  [ˈkeɪb(ə)l]
towards  [tɔːrdz]
expose  [ɪkˈspoʊz]
rural  [ˈrʊrəl]
AIDS  [eɪdz]
Jew  [dʒuː]
narrow  [ˈnæroʊ]
cream  [kriːm]
secretary  [ˈsekrəteri]
gate  [ɡeɪt]
solid  [ˈsɑːlɪd]
hill  [hɪl]
typically  [ˈtɪpɪkli]
noise  [nɔɪz]
grass  [ɡræs]
unfortunately  [ʌnˈfɔːrtʃənətli]
hat  [hæt]
legislation  [ˌledʒɪsˈleɪʃ(ə)n]
succeed  [səkˈsiːd]
either  [ˈiːðər]
celebrate  [ˈselɪbreɪt]
achievement  [əˈtʃiːvmənt]
fishing  [ˈfɪʃɪŋ]
drink  [drɪŋk]
accuse  [əˈkjuːz]
hand  [hænd]
useful  [ˈjuːsf(ə)l]
land  [lænd]
secret  [ˈsiːkrət]
reject  [rɪˈdʒekt]
talent  [ˈtælənt]
taste  [teɪst]
characteristic  [ˌkærəktəˈrɪstɪk]
milk  [mɪlk]
escape  [ɪˈskeɪp]
cast  [kæst]
sentence  [ˈsentəns]
unusual  [ʌnˈjuːʒuəl]
closely  [ˈkloʊsli]
convince  [kənˈvɪns]
height  [haɪt]
physician  [fɪˈzɪʃ(ə)n]
assess  [əˈses]
sleep  [sliːp]
plenty  [ˈplenti]
ride  [raɪd]
virtually  [ˈvɜːrtʃuəli]
first  [fɜːrst]
addition  [əˈdɪʃ(ə)n]
sharp  [ʃɑːrp]
creative  [kriˈeɪtɪv]
lower  [ˈloʊər]
behind  [bɪˈhaɪnd]
approve  [əˈpruːv]
explanation  [ˌekspləˈneɪʃ(ə)n]
outside  [ˌaʊtˈsaɪd]
gay  [ɡeɪ]
campus  [ˈkæmpəs]
proper  [ˈprɑːpər]
live  [lɪv]
guilty  [ˈɡɪlti]
living  [ˈlɪvɪŋ]
acquire  [əˈkwaɪər]
compete  [kəmˈpiːt]
technical  [ˈteknɪk(ə)l]
plus  [plʌs]
mind  [maɪnd]
potential  [pəˈtenʃ(ə)l]
immigrant  [ˈɪmɪɡrənt]
weak  [wiːk]
illegal  [ɪˈliːɡ(ə)l]
hi  [haɪ]
alternative  [ɔːlˈtɜːrnətɪv]
interaction  [ˌɪntərˈækʃ(ə)n]
column  [ˈkɑːləm]
personality  [ˌpɜːrsəˈnæləti]
signal  [ˈsɪɡnəl]
curriculum  [kəˈrɪkjələm]
list  [lɪst]
honor  [ˈɑːnər]
passenger  [ˈpæsɪndʒər]
assistance  [əˈsɪstəns]
forever  [fərˈevər]
fun  [fʌn]
regard  [rɪˈɡɑːrd]
Israeli  [ɪzˈreɪli]
association  [əˌsoʊsiˈeɪʃn; əˌsoʊʃiˈeɪʃn]
twenty  [ˈtwenti]
knock  [nɑːk]
review  [rɪˈvjuː]
wrap  [ræp]
lab  [læb]
offer  [ˈɔːfər]
display  [dɪˈspleɪ]
criticism  [ˈkrɪtɪsɪzəm]
asset  [ˈæset]
depression  [dɪˈpreʃ(ə)n]
spiritual  [ˈspɪrɪtʃuəl]
musical  [ˈmjuːzɪk(ə)l]
journalist  [ˈdʒɜːrnəlɪst]
prayer  [prer]
suspect  [səˈspekt]
scholar  [ˈskɑːlər]
warning  [ˈwɔːrnɪŋ]
climate  [ˈklaɪmət]
cheese  [tʃiːz]
observation  [ˌɑːbzərˈveɪʃ(ə)n]
childhood  [ˈtʃaɪldhʊd]
payment  [ˈpeɪmənt]
sir  [sɜːr]
permit  [pərˈmɪt]
cigarette  [ˈsɪɡəret]
definition  [ˌdefɪˈnɪʃn]
priority  [praɪˈɔːrəti]
bread  [bred]
creation  [kriˈeɪʃ(ə)n]
graduate  [ˈɡrædʒuət]
request  [rɪˈkwest]
emotion  [ɪˈmoʊʃ(ə)n]
scream  [skriːm]
dramatic  [drəˈmætɪk]
universe  [ˈjuːnɪvɜːrs]
gap  [ɡæp]
excellent  [ˈeksələnt]
deeply  [ˈdiːpli]
prosecutor  [ˈprɑːsɪkjuːtər]
mark  [mɑːrk]
green  [ɡriːn]
lucky  [ˈlʌki]
drag  [dræɡ]
airline  [ˈerlaɪn]
library  [ˈlaɪbreri]
agenda  [əˈdʒendə]
recover  [rɪˈkʌvər]
factory  [ˈfækt(ə)ri]
selection  [sɪˈlekʃ(ə)n]
primarily  [praɪˈmerəli]
roof  [ruːf]
unable  [ʌnˈeɪb(ə)l]
expense  [ɪkˈspens]
initiative  [ɪˈnɪʃətɪv]
diet  [ˈdaɪət]
arrest  [əˈrest]
funding  [ˈfʌndɪŋ]
therapy  [ˈθerəpi]
wash  [wɑːʃ]
schedule  [ˈskedʒuːl]
sad  [sæd]
brief  [briːf]
housing  [ˈhaʊzɪŋ]
post  [poʊst]
purchase  [ˈpɜːrtʃəs]
existing  [ɪɡˈzɪstɪŋ]
dark  [dɑːrk]
steel  [stiːl]
regarding  [rɪˈɡɑːrdɪŋ]
shout  [ʃaʊt]
remaining  [rɪˈmeɪnɪŋ]
visual  [ˈvɪʒuəl]
fairly  [ˈferli]
chip  [tʃɪp]
violent  [ˈvaɪələnt]
silent  [ˈsaɪlənt]
suppose  [səˈpoʊz]
self  [self]
bike  [baɪk]
tea  [tiː]
perceive  [pərˈsiːv]
comparison  [kəmˈpærɪsn]
settlement  [ˈset(ə)lmənt]
layer  [ˈleɪər]
planning  [ˈplænɪŋ]
far  [fɑːr]
description  [dɪˈskrɪpʃn]
later  [ˈleɪtər]
slow  [sloʊ]
slide  [slaɪd]
widely  [ˈwaɪdli]
wedding  [ˈwedɪŋ]
inform  [ɪnˈfɔːrm]
portion  [ˈpɔːrʃ(ə)n]
territory  [ˈterətɔːri]
immediate  [ɪˈmiːdiət]
opponent  [əˈpoʊnənt]
abandon  [əˈbændən]
link  [lɪŋk]
mass  [mæs]
lake  [leɪk]
transform  [trænsˈfɔːrm]
tension  [ˈtenʃ(ə)n]
display  [dɪˈspleɪ]
leading  [ˈliːdɪŋ; ˈledɪŋ]
bother  [ˈbɑːðər]
consist  [kənˈsɪst]
alcohol  [ˈælkəhɔːl]
enable  [ɪˈneɪb(ə)l]
bend  [bend]
saving  [ˈseɪvɪŋ]
gain  [ɡeɪn]
desert  [ˈdezərt]
shall  [ʃæl; ʃəl]
error  [ˈerər]
release  [rɪˈliːs]
cop  [kɑːp]
Arab  [ˈærəb]
double  [ˈdʌb(ə)l]
walk  [wɔːk]
sand  [sænd]
Spanish  [ˈspænɪʃ]
rule  [ruːl]
hit  [hɪt]
print  [prɪnt]
preserve  [prɪˈzɜːrv]
passage  [ˈpæsɪdʒ]
formal  [ˈfɔːrm(ə)l]
transition  [trænˈzɪʃ(ə)n]
existence  [ɪɡˈzɪstəns]
album  [ˈælbəm]
participation  [pɑːrˌtɪsɪˈpeɪʃ(ə)n]
arrange  [əˈreɪndʒ]
atmosphere  [ˈætməsfɪr]
joint  [dʒɔɪnt]
reply  [rɪˈplaɪ]
cycle  [ˈsaɪk(ə)l]
opposite  [ˈɑːpəzɪt]
lock  [lɑːk]
whole  [hoʊl]
deserve  [dɪˈzɜːrv]
consistent  [kənˈsɪstənt]
resistance  [rɪˈzɪstəns]
discovery  [dɪˈskʌvəri]
tear  [ter]
exposure  [ɪkˈspoʊʒər]
pose  [poʊz]
stream  [striːm]
sale  [seɪl]
trust  [trʌst]
benefit  [ˈbenɪfɪt]
pot  [pɑːt]
grand  [ɡrænd]
mine  [maɪn]
hello  [heˈloʊ]
coalition  [ˌkoʊəˈlɪʃ(ə)n]
tale  [teɪl]
knife  [naɪf]
resolve  [rɪˈzɑːlv]
racial  [ˈreɪʃ(ə)l]
phase  [feɪz]
present  [ˈprez(ə)nt]
joke  [dʒoʊk]
coat  [koʊt]
Mexican  [ˈmeksɪkən]
symptom  [ˈsɪmptəm]
contact  [ˈkɑːntækt]
manufacturer  [ˌmænjuˈfæktʃərər]
philosophy  [fəˈlɑːsəfi]
potato  [pəˈteɪtoʊ]
interview  [ˈɪntərvjuː]
foundation  [faʊnˈdeɪʃ(ə)n]
quote  [kwoʊt]
online  [ˌɑːnˈlaɪn]
pass  [pæs]
negotiation  [nɪˌɡoʊʃiˈeɪʃ(ə)n]
good  [ɡʊd]
urge  [ɜːrdʒ]
occasion  [əˈkeɪʒn]
dust  [dʌst]
breathe  [briːð]
elect  [ɪˈlekt]
investigator  [ɪnˈvestɪɡeɪtər]
jacket  [ˈdʒækɪt]
glad  [ɡlæd]
ordinary  [ˈɔːrd(ə)neri]
reduction  [rɪˈdʌkʃ(ə)n]
rarely  [ˈrerli]
shift  [ʃɪft]
pack  [pæk]
suicide  [ˈsuːɪsaɪd]
numerous  [ˈnuːmərəs]
touch  [tʌtʃ]
substance  [ˈsʌbstəns]
discipline  [ˈdɪsəplɪn]
elsewhere  [ˈelsˌwer]
iron  [ˈaɪərn]
practical  [ˈpræktɪk(ə)l]
moreover  [mɔːrˈoʊvər]
passion  [ˈpæʃ(ə)n]
volunteer  [ˌvɑːlənˈtɪr]
implement  [ˈɪmplɪment]
essentially  [ɪˈsenʃəli]
gene  [dʒiːn]
enforcement  [ɪnˈfɔːrsmənt]
vs  [ˈvɜːrsəs]
sauce  [sɔːs]
independence  [ˌɪndɪˈpendəns]
marketing  [ˈmɑːrkɪtɪŋ]
priest  [priːst]
amazing  [əˈmeɪzɪŋ]
intense  [ɪnˈtens]
advance  [ædˈvæns]
employer  [ɪmˈplɔɪər]
shock  [ʃɑːk]
inspire  [ɪnˈspaɪər]
adjust  [əˈdʒʌst]
retire  [rɪˈtaɪər]
sure  [ʃʊr]
visible  [ˈvɪzəb(ə)l]
kiss  [kɪs]
illness  [ˈɪlnəs]
cap  [kæp]
habit  [ˈhæbɪt]
competitive  [kəmˈpetətɪv]
juice  [dʒuːs]
congressional  [kənˈɡreʃən(ə)l]
involvement  [ɪnˈvɑːlvmənt]
dominate  [ˈdɑːmɪneɪt]
previously  [ˈpriːviəsli]
whenever  [wenˈevər]
transfer  [trænsˈfɜːr]
analyze  [ˈænəlaɪz]
another  [əˈnʌðər]
attach  [əˈtætʃ]
for  [fɔːr; fər]
Indian  [ˈɪndiən]
disaster  [dɪˈzæstər]
parking  [ˈpɑːrkɪŋ]
prospect  [ˈprɑːspekt]
boss  [bɔːs]
complaint  [kəmˈpleɪnt]
championship  [ˈtʃæmpiənʃɪp]
coach  [koʊtʃ]
exercise  [ˈeksərsaɪz]
fundamental  [ˌfʌndəˈment(ə)l]
severe  [sɪˈvɪr]
enhance  [ɪnˈhæns]
mystery  [ˈmɪstəri]
impose  [ɪmˈpoʊz]
poverty  [ˈpɑːvərti]
other  [ˈʌðər]
entry  [ˈentri]
fat  [fæt]
spending  [ˈspendɪŋ]
king  [kɪŋ]
evaluate  [ɪˈvæljueɪt]
symbol  [ˈsɪmb(ə)l]
still  [stɪl]
trade  [treɪd]
maker  [ˈmeɪkər]
mood  [muːd]
accomplish  [əˈkɑːmplɪʃ]
emphasis  [ˈemfəsɪs]
illustrate  [ˈɪləstreɪt]
boot  [buːt]
monitor  [ˈmɑːnɪtər]
Asian  [ˈeɪʒ(ə)n]
entertainment  [ˌentərˈteɪnmənt]
bean  [biːn]
evaluation  [ɪˌvæljuˈeɪʃ(ə)n]
creature  [ˈkriːtʃər]
commander  [kəˈmændər]
digital  [ˈdɪdʒɪt(ə)l]
arrangement  [əˈreɪndʒmənt]
concentrate  [ˈkɑːns(ə)ntreɪt]
total  [ˈtoʊt(ə)l]
usual  [ˈjuːʒuəl]
anger  [ˈæŋɡər]
psychological  [ˌsaɪkəˈlɑːdʒɪk(ə)l]
heavily  [ˈhevɪli]
peak  [piːk]
approximately  [əˈprɑːksɪmətli]
increasing  [ɪnˈkriːsɪŋ]
disorder  [dɪsˈɔːrdər]
missile  [ˈmɪs(ə)l]
equally  [ˈiːkwəli]
vary  [ˈveri]
wire  [ˈwaɪər]
round  [raʊnd]
distribution  [ˌdɪstrɪˈbjuːʃ(ə)n]
transportation  [ˌtrænspərˈteɪʃ(ə)n]
holy  [ˈhoʊli]
ring  [rɪŋ]
twin  [twɪn]
command  [kəˈmænd]
commission  [kəˈmɪʃ(ə)n]
interpretation  [ɪnˌtɜːrprəˈteɪʃ(ə)n]
breakfast  [ˈbrekfəst]
stop  [stɑːp]
strongly  [ˈstrɔːŋli]
engineering  [ˌendʒɪˈnɪrɪŋ]
luck  [lʌk]
so-called  [ˌsoʊ ˈkɔːld]
constant  [ˈkɑːnstənt]
race  [reɪs]
clinic  [ˈklɪnɪk]
veteran  [ˈvetərən]
smell  [smel]
tablespoon  [ˈteɪblspuːn]
capable  [ˈkeɪpəb(ə)l]
nervous  [ˈnɜːrvəs]
tourist  [ˈtʊrɪst]
light  [laɪt]
toss  [tɔːs]
crucial  [ˈkruːʃ(ə)l]
bury  [ˈberi]
pray  [preɪ]
tomato  [təˈmeɪtoʊ]
exception  [ɪkˈsepʃn]
butter  [ˈbʌtər]
deficit  [ˈdefɪsɪt]
bathroom  [ˈbæθruːm]
objective  [əbˈdʒektɪv]
block  [blɑːk]
electronic  [ɪˌlekˈtrɑːnɪk]
ally  [ˈælaɪ]
journey  [ˈdʒɜːrni]
reputation  [ˌrepjuˈteɪʃ(ə)n]
mixture  [ˈmɪkstʃər]
surely  [ˈʃʊrli]
tower  [ˈtaʊər]
smoke  [smoʊk]
confront  [kənˈfrʌnt]
pure  [pjʊr]
glance  [ɡlæns]
dimension  [daɪˈmenʃn; dɪˈmenʃn]
toy  [tɔɪ]
prisoner  [ˈprɪz(ə)nər]
fellow  [ˈfeloʊ]
smooth  [smuːð]
nearby  [ˌnɪrˈbaɪ]
peer  [pɪr]
designer  [dɪˈzaɪnər]
personnel  [ˌpɜːrsəˈnel]
shape  [ʃeɪp]
educator  [ˈedʒukeɪtər]
relative  [ˈrelətɪv]
immigration  [ˌɪmɪˈɡreɪʃn]
belt  [belt]
teaspoon  [ˈtiːspuːn]
birthday  [ˈbɜːrθdeɪ]
implication  [ˌɪmplɪˈkeɪʃ(ə)n]
perfectly  [ˈpɜːrfɪktli]
coast  [koʊst]
supporter  [səˈpɔːrtər]
accompany  [əˈkʌmpəni]
silver  [ˈsɪlvər]
teenager  [ˈtiːneɪdʒər]
recognition  [ˌrekəɡˈnɪʃ(ə)n]
retirement  [rɪˈtaɪərmənt]
flag  [flæɡ]
recovery  [rɪˈkʌvəri]
whisper  [ˈwɪspər]
watch  [wɑːtʃ]
gentleman  [ˈdʒent(ə)lmən]
corn  [kɔːrn]
moon  [muːn]
inner  [ˈɪnər]
junior  [ˈdʒuːniər]
rather  [ˈræðər]
throat  [θroʊt]
salary  [ˈsæləri]
swing  [swɪŋ]
observer  [əbˈzɜːrvər]
due  [duː]
straight  [streɪt]
publication  [ˌpʌblɪˈkeɪʃ(ə)n]
pretty  [ˈprɪti]
crop  [krɑːp]
dig  [dɪɡ]
strike  [straɪk]
permanent  [ˈpɜːrmənənt]
plant  [plænt]
phenomenon  [fəˈnɑːmɪnən]
anxiety  [æŋˈzaɪəti]
unlike  [ˌʌnˈlaɪk]
wet  [wet]
literally  [ˈlɪtərəli]
resist  [rɪˈzɪst]
convention  [kənˈvenʃ(ə)n]
embrace  [ɪmˈbreɪs]
supply  [səˈplaɪ]
assist  [əˈsɪst]
exhibition  [ˌeksɪˈbɪʃ(ə)n]
construct  [kənˈstrʌkt]
viewer  [ˈvjuːər]
pan  [pæn]
consultant  [kənˈsʌltənt]
soon  [suːn]
line  [laɪn]
administrator  [ədˈmɪnɪstreɪtər]
date  [deɪt]
occasionally  [əˈkeɪʒ(ə)nəli]
mayor  [ˈmeɪər]
consideration  [kənˌsɪdəˈreɪʃ(ə)n]
CEO  [ˌsiː iː ˈoʊ]
secure  [sɪˈkjʊr]
pink  [pɪŋk]
smoke  [smoʊk]
estimate  [ˈestɪmət]
buck  [bʌk]
historic  [hɪˈstɔːrɪk]
poem  [ˈpoʊəm]
grandmother  [ˈɡrænmʌðər]
bind  [baɪnd]
fifth  [fɪfθ]
constantly  [ˈkɑːnstəntli]
enterprise  [ˈentərpraɪz]
favor  [ˈfeɪvər]
testing  [ˈtestɪŋ]
stomach  [ˈstʌmək]
apparent  [əˈpærənt]
weigh  [weɪ]
install  [ɪnˈstɔːl]
sensitive  [ˈsensətɪv]
suggestion  [səˈdʒestʃən; səɡˈdʒestʃən]
mail  [meɪl]
recipe  [ˈresəpi]
reasonable  [ˈriːz(ə)nəb(ə)l]
preparation  [ˌprepəˈreɪʃ(ə)n]
wooden  [ˈwʊd(ə)n]
elementary  [ˌelɪˈmentri]
concert  [ˈkɑːnsərt]
aggressive  [əˈɡresɪv]
FALSE  [fɔːls]
intention  [ɪnˈtenʃ(ə)n]
channel  [ˈtʃæn(ə)l]
extreme  [ɪkˈstriːm]
tube  [tuːb]
drawing  [ˈdrɔːɪŋ]
protein  [ˈproʊtiːn]
quit  [kwɪt]
absence  [ˈæbsəns]
roll  [roʊl]
Latin  [ˈlætn]
rapidly  [ˈræpɪdli]
jail  [dʒeɪl]
comment  [ˈkɑːment]
diversity  [daɪˈvɜːrsəti; dɪˈvɜːsɪti]
honest  [ˈɑːnɪst]
Palestinian  [ˌpæləˈstɪniən]
pace  [peɪs]
employment  [ɪmˈplɔɪmənt]
speaker  [ˈspiːkər]
impression  [ɪmˈpreʃ(ə)n]
essay  [ˈeseɪ]
respondent  [rɪˈspɑːndənt]
giant  [ˈdʒaɪənt]
cake  [keɪk]
historian  [hɪˈstɔːriən]
negotiate  [nɪˈɡoʊʃieɪt]
restore  [rɪˈstɔːr]
substantial  [səbˈstænʃ(ə)l]
pop  [pɑːp]
particular  [pərˈtɪkjələr]
specialist  [ˈspeʃəlɪst]
origin  [ˈɔːrɪdʒɪn]
approval  [əˈpruːv(ə)l]
mine  [maɪn]
quietly  [ˈkwaɪətli]
advise  [ədˈvaɪz]
conventional  [kənˈvenʃən(ə)l]
drop  [drɑːp]
count  [kaʊnt]
depth  [depθ]
wealth  [welθ]
disability  [ˌdɪsəˈbɪləti]
shell  [ʃel]
general  [ˈdʒen(ə)rəl]
criticize  [ˈkrɪtɪsaɪz]
fast  [fæst]
professional  [prəˈfeʃən(ə)l]
effectively  [ɪˈfektɪvli]
biological  [ˌbaɪəˈlɑːdʒɪk(ə)l]
pack  [pæk]
onion  [ˈʌnjən]
deputy  [ˈdepjuti]
flat  [flæt]
brand  [brænd]
assure  [əˈʃʊr]
mad  [mæd]
award  [əˈwɔːrd]
criteria  [kraɪˈtɪriə]
dealer  [ˈdiːlər]
via  [ˈvaɪə]
alternative  [ɔːlˈtɜːrnətɪv]
utility  [juːˈtɪləti]
precisely  [prɪˈsaɪsli]
arise  [əˈraɪz]
armed  [ɑːrmd]
nevertheless  [ˌnevərðəˈles]
highway  [ˈhaɪweɪ]
clinical  [ˈklɪnɪk(ə)l]
routine  [ruːˈtiːn]
schedule  [ˈskedʒuːl]
wage  [weɪdʒ]
normally  [ˈnɔːrməli]
phrase  [freɪz]
ingredient  [ɪnˈɡriːdiənt]
stake  [steɪk]
Muslim  [ˈmʊzlɪm; ˈmʌzlɪm; ˈmʊslɪm]
dream  [driːm]
fiber  [ˈfaɪbər]
activist  [ˈæktɪvɪst]
Islamic  [ɪzˈlæmɪkˌɪzˈlɑːmɪk]
snap  [snæp]
terrorism  [ˈterərɪzəm]
refugee  [ˌrefjuˈdʒiː]
incorporate  [ɪnˈkɔːrpəreɪt]
hip  [hɪp]
ultimate  [ˈʌltɪmət]
switch  [swɪtʃ]
corporation  [ˌkɔːrpəˈreɪʃ(ə)n]
valuable  [ˈvæljuəb(ə)l]
assumption  [əˈsʌmpʃ(ə)n]
gear  [ɡɪr]
graduate  [ˈɡrædʒuət]
barrier  [ˈbæriər]
minor  [ˈmaɪnər]
provision  [prəˈvɪʒ(ə)n]
killer  [ˈkɪlər]
assign  [əˈsaɪn]
gang  [ɡæŋ]
developing  [dɪˈveləpɪŋ]
classic  [ˈklæsɪk]
chemical  [ˈkemɪk(ə)l]
wave  [weɪv]
label  [ˈleɪb(ə)l]
teen  [tiːn]
index  [ˈɪndeks]
vacation  [veɪˈkeɪʃ(ə)n]
advocate  [ˈædvəkeɪt]
draft  [drɑːft]
extraordinary  [ɪkˈstrɔːrdəneri]
heaven  [ˈhev(ə)n]
rough  [rʌf]
yell  [jel]
pregnant  [ˈpreɡnənt]
distant  [ˈdɪstənt]
drama  [ˈdrɑːmə]
satellite  [ˈsætəlaɪt]
personally  [ˈpɜːrsənəli]
wonder  [ˈwʌndər]
clock  [klɑːk]
chocolate  [ˈtʃɔːklət]
Italian  [ɪˈtæliən]
Canadian  [kəˈneɪdiən]
ceiling  [ˈsiːlɪŋ]
sweep  [swiːp]
advertising  [ˈædvərtaɪzɪŋ]
universal  [ˌjuːnɪˈvɜːrs(ə)l]
spin  [spɪn]
house  [haʊs]
button  [ˈbʌt(ə)n]
bell  [bel]
rank  [ræŋk]
darkness  [ˈdɑːrknəs]
ahead  [əˈhed]
clothing  [ˈkloʊðɪŋ]
super  [ˈsuːpər]
yield  [jiːld]
fence  [fens]
portrait  [ˈpɔːrtreɪt]
paint  [peɪnt]
survival  [sərˈvaɪv(ə)l]
roughly  [ˈrʌfli]
lawsuit  [ˈlɔːsuːt]
bottom  [ˈbɑːtəm]
testimony  [ˈtestɪmoʊni]
bunch  [bʌntʃ]
beat  [biːt]
wind  [wɪnd]
found  [faʊnd]
burden  [ˈbɜːrd(ə)n]
react  [riˈækt]
chamber  [ˈtʃeɪmbər]
furniture  [ˈfɜːrnɪtʃər]
cooperation  [koʊˌɑːpəˈreɪʃ(ə)n]
string  [strɪŋ]
ceremony  [ˈserəmoʊni]
communicate  [kəˈmjuːnɪkeɪt]
taste  [teɪst]
cheek  [tʃiːk]
lost  [lɔːst]
profile  [ˈproʊfaɪl]
mechanism  [ˈmekənɪzəm]
disagree  [ˌdɪsəˈɡriː]
like  [laɪk]
penalty  [ˈpenəlti]
match  [mætʃ]
ie  [ˌaɪ ˈiː]
advance  [ædˈvæns]
resort  [rɪˈzɔːrt]
destruction  [dɪˈstrʌkʃn]
bear  [ber]
unlikely  [ʌnˈlaɪkli]
tissue  [ˈtɪʃuː]
constitutional  [ˌkɑːnstɪˈtuːʃənl]
pant  [pænt]
stranger  [ˈstreɪndʒər]
infection  [ɪnˈfekʃ(ə)n]
cabinet  [ˈkæbɪnət]
broken  [ˈbroʊkən]
apple  [ˈæp(ə)l]
electric  [ɪˈlektrɪk]
proceed  [proʊˈsiːd]
track  [træk]
bet  [bet]
literary  [ˈlɪtəreri]
virus  [ˈvaɪrəs]
stupid  [ˈstuːpɪd]
dispute  [dɪˈspjuːt]
fortune  [ˈfɔːrtʃən]
strategic  [strəˈtiːdʒɪk]
assistant  [əˈsɪstənt]
overcome  [ˌoʊvərˈkʌm]
remarkable  [rɪˈmɑːrkəb(ə)l]
occupy  [ˈɑːkjupaɪ]
statistics  [stəˈtɪstɪks]
shopping  [ˈʃɑːpɪŋ]
cousin  [ˈkʌz(ə)n]
encounter  [ɪnˈkaʊntər]
wipe  [waɪp]
initially  [ɪˈnɪʃəli]
blind  [blaɪnd]
white  [waɪt]
port  [pɔːrt]
honor  [ˈɑːnər]
electricity  [ɪˌlekˈtrɪsəti]
genetic  [dʒəˈnetɪk]
adviser  [ədˈvaɪzər]
pay  [peɪ]
spokesman  [ˈspoʊksmən]
retain  [rɪˈteɪn]
latter  [ˈlætər]
incentive  [ɪnˈsentɪv]
slave  [sleɪv]
chemical  [ˈkemɪk(ə)l]
translate  [trænzˈleɪt]
accurate  [ˈækjərət]
whereas  [ˌwerˈæz]
terror  [ˈterər]
though  [ðoʊ]
expansion  [ɪkˈspænʃ(ə)n]
elite  [ɪˈliːt]
Olympic  [əˈlɪmpɪk]
dirt  [dɜːrt]
odd  [ɑːd]
rice  [raɪs]
bullet  [ˈbʊlɪt]
tight  [taɪt]
Bible  [ˈbaɪb(ə)l]
chart  [tʃɑːrt]
solar  [ˈsoʊlər]
decline  [dɪˈklaɪn]
conservative  [kənˈsɜːrvətɪv]
process  [ˈprɑːses]
square  [skwer]
stick  [stɪk]
concentration  [ˌkɑːns(ə)nˈtreɪʃ(ə)n]
complicated  [ˈkɑːmplɪkeɪtɪd]
gently  [ˈdʒentli]
champion  [ˈtʃæmpiən]
scenario  [səˈnærioʊ]
telescope  [ˈtelɪskoʊp]
reflection  [rɪˈflekʃ(ə)n]
revolution  [ˌrevəˈluːʃ(ə)n]
strip  [strɪp]
interpret  [ɪnˈtɜːrprət]
friendly  [ˈfrendli]
tournament  [ˈtʊrnəmənt]
fiction  [ˈfɪkʃ(ə)n]
detect  [dɪˈtekt]
balance  [ˈbæləns]
likely  [ˈlaɪkli]
tremendous  [trəˈmendəs]
lifetime  [ˈlaɪftaɪm]
recommendation  [ˌrekəmenˈdeɪʃ(ə)n]
flow  [floʊ]
senator  [ˈsenətər]
market  [ˈmɑːrkɪt]
hunting  [ˈhʌntɪŋ]
salad  [ˈsæləd]
guarantee  [ˌɡærənˈtiː]
innocent  [ˈɪnəs(ə)nt]
boundary  [ˈbaʊndri]
pause  [pɔːz]
remote  [rɪˈmoʊt]
satisfaction  [ˌsætɪsˈfækʃ(ə)n]
journal  [ˈdʒɜːrn(ə)l]
bench  [bentʃ]
lover  [ˈlʌvər]
raw  [rɔː]
awareness  [əˈwernəs]
surprising  [sərˈpraɪzɪŋ]
withdraw  [wɪðˈdrɔː]
general  [ˈdʒen(ə)rəl]
deck  [dek]
similarly  [ˈsɪmələrli]
newly  [ˈnuːli]
pole  [poʊl]
testify  [ˈtestɪfaɪ]
mode  [moʊd]
dialogue  [ˈdaɪəlɔːɡ]
imply  [ɪmˈplaɪ]
naturally  [ˈnætʃ(ə)rəli]
mutual  [ˈmjuːtʃuəl]
founder  [ˈfaʊndər]
top  [tɑːp]
advanced  [ədˈvænst]
pride  [praɪd]
dismiss  [dɪsˈmɪs]
aircraft  [ˈerkræft]
delivery  [dɪˈlɪvəri]
mainly  [ˈmeɪnli]
bake  [beɪk]
freeze  [friːz]
platform  [ˈplætfɔːrm]
finance  [ˈfaɪnæns]
sink  [sɪŋk]
attractive  [əˈtræktɪv]
respect  [rɪˈspekt]
diverse  [daɪˈvɜːrs]
relevant  [ˈreləvənt]
ideal  [aɪˈdiːəl]
joy  [dʒɔɪ]
worth  [wɜːrθ]
regularly  [ˈreɡjələrli]
working  [ˈwɜːrkɪŋ]
singer  [ˈsɪŋər]
evolve  [ɪˈvɑːlv]
shooting  [ˈʃuːtɪŋ]
partly  [ˈpɑːrtli]
unknown  [ˌʌnˈnoʊn]
assistant  [əˈsɪstənt]
offense  [əˈfens]
counter  [ˈkaʊntər]
DNA  [ˌdiː en ˈeɪ]
smell  [smel]
potentially  [pəˈtenʃəli]
transfer  [trænsˈfɜːr]
thirty  [ˈθɜːrti]
justify  [ˈdʒʌstɪfaɪ]
protest  [ˈproʊtest]
crash  [kræʃ]
craft  [krɑːft]
treaty  [ˈtriːti]
terrorist  [ˈterərɪst]
insight  [ˈɪnsaɪt]
possess  [pəˈzes]
politically  [pəˈlɪtɪkli]
tap  [tæp]
lie  [laɪ]
extensive  [ɪkˈstensɪv]
episode  [ˈepɪsoʊd]
double  [ˈdʌb(ə)l]
swim  [swɪm]
tire  [ˈtaɪər]
fault  [fɔːlt]
loose  [luːs]
free  [friː]
shortly  [ˈʃɔːrtli]
originally  [əˈrɪdʒənəli]
considerable  [kənˈsɪdərəb(ə)l]
prior  [ˈpraɪər]
intellectual  [ˌɪntəˈlektʃuəl]
mix  [mɪks]
assault  [əˈsɔːlt]
relax  [rɪˈlæks]
stair  [ster]
adventure  [ədˈventʃər]
